case_id,source_family,operation,source_members,target_member,predictor_policy,fixed_mapping_time_days,converged,accepted,passed_10500_gate,passed_11000_gate,map_residual_max_norm,map_residual_rms_norm,mean_jacobi_residual,curve_jacobi_span,phase_residual,second_phase_residual,palc_constraint_residual,one_map_phase_return_error,ten_return_jacobi_span,max_abs_z_km,delta_max_abs_z_km,target_max_abs_z_km,amplitude_error_km,rho,delta_rho,target_rho,rho_error,mean_jacobi,delta_mean_jacobi,target_mean_jacobi,mean_jacobi_error,fourier_tail_energy_state,jacobian_shape,rank_estimate,condition_estimate,newton_iterations,max_correction_norm,failure_reason,diagnosis
fixed_time_endpoint_reproduction,quasi_dro_fixed_time_accepted,fixed_time_endpoint_reproduction,10,10,accepted_endpoint_state_rho_J_fixed_T,14.74932760227518,True,True,False,False,7.890972080147777e-10,4.409267131129014e-10,0,1.794120407794253e-11,0,0,N/A,2.12467501228811e-10,3.552713678800501e-15,10164.02309965055,1.818989403545856e-12,10164.02309965055,1.818989403545856e-12,1.443877875293695,0,1.443877875293695,0,2.922288411389487,0,2.922288411389487,0,5.400271324493003e-23,369x368,368,48251840022.48481,0,0,,Authoritative accepted fixed-time endpoint reproduced in the constrained unknown layout.
fixed_time_known_neighbor_8_9_to_10,quasi_dro_fixed_time_accepted,fixed_time_constrained_PALC,"8,9",10,fixed_time_secant_8_9_to_10,14.74932760227518,True,False,False,False,9.680230974348792e-09,5.378950686145476e-09,-1.272120186968095e-10,3.415281391028202e-10,4.418123852878431e-18,-1.021860547567588e-17,3.41930260147616e-17,2.498303646385372e-09,2.664535259100376e-15,10161.30356428339,-0.3894860194195644,10164.02309965055,-2.719535367159551,1.443872306224488,-4.179932950876264e-07,1.443877875293695,-5.569069207123079e-06,2.922288506379381,7.014311798059225e-09,2.922288411389487,9.49898932844917e-08,1.990750209423846e-22,370x368,368,280809.3197247632,2,0.001359320081770157,target amplitude gate; target mean-Jacobi gate,Strict fixed-time known-neighbor reproduction under constrained PALC.
fixed_time_forward_9_10_fraction_0p10,quasi_dro_fixed_time_accepted,fixed_time_constrained_PALC,"9,10",predicted_forward,fixed_time_endpoint_secant_forward,14.74932760227518,True,True,False,False,3.156026149225158e-10,1.574641229555711e-10,-3.83115761337649e-12,9.277911772187508e-12,4.616329562535937e-20,1.340853155503557e-17,-9.552625820897186e-18,3.842011922502299e-11,2.220446049250313e-15,10164.01689048357,-0.006209166984262993,N/A,N/A,1.443877873038122,-2.255572839615638e-09,N/A,N/A,2.922288411442474,5.298694816247007e-11,N/A,N/A,1.00351001813559e-23,370x368,368,281476.6316409894,1,1.158898516108816e-05,,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
fixed_time_forward_9_10_fraction_0p25,quasi_dro_fixed_time_accepted,fixed_time_constrained_PALC,"9,10",predicted_forward,fixed_time_endpoint_secant_forward,14.74932760227518,True,True,False,False,1.972355648141531e-09,9.839893659444744e-10,-2.394218157064643e-11,5.78190828548486e-11,2.929251689842184e-18,3.358485635863301e-18,-1.047504470045712e-17,2.389095273813954e-10,3.996802888650564e-15,10164.00757035461,-0.01552929594072339,N/A,N/A,1.443877869116794,-6.176901212739949e-09,N/A,N/A,2.922288411490085,1.005973082612854e-10,N/A,N/A,1.327736827951535e-23,370x368,368,281476.3045115105,1,2.897216422907183e-05,,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
fixed_time_forward_9_10_fraction_0p50,quasi_dro_fixed_time_accepted,fixed_time_constrained_PALC,"9,10",predicted_forward,fixed_time_endpoint_secant_forward,14.74932760227518,True,True,False,False,7.89889739958124e-09,3.939153818438028e-09,-9.583356330722381e-11,2.307487534380925e-10,2.748198397366577e-18,-1.023215800283195e-17,-5.685920416681305e-18,9.525887131017461e-10,3.552713678800501e-15,10163.99348245836,-0.02961719219092629,N/A,N/A,1.44387786597509,-9.318605220798304e-09,N/A,N/A,2.922288411474297,8.480993685111571e-11,N/A,N/A,1.069610356727492e-22,370x368,368,281481.1617498323,1,5.796288190854634e-05,,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
fixed_time_forward_9_10_fraction_1p00,quasi_dro_fixed_time_accepted,fixed_time_constrained_PALC,"9,10",predicted_forward,fixed_time_endpoint_secant_forward,14.74932760227518,True,True,False,False,6.376863407433981e-13,3.46387288325297e-13,-9.325873406851315e-15,6.972200594645983e-14,1.0045810754436e-18,7.992602890291578e-18,3.820118592116895e-18,2.139293424273648e-13,3.108624468950438e-15,10163.95594455774,-0.06715509281457344,N/A,N/A,1.443877837808462,-3.748523336177811e-08,N/A,N/A,2.922288412047843,6.583551481753602e-10,N/A,N/A,1.173469381767572e-23,370x368,368,281457.0736644726,2,0.0001160074790414068,,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
free_time_tangent_fixed_T_known_4_5_to_6,quasi_dro_free_time_diagnostic,fixed_time_constrained_PALC,"4,5",6,free_time_state_rho_J_secant_with_T_fixed,14.74932760227518,False,False,False,False,0.01005234587591221,0.005182188392132991,-9.408958851775395e-05,0.001225683825988533,-1.346195797492095e-07,-0.001135343917875975,-5.083338352465314e-08,0.00288692505008603,2.664535259100376e-15,11235.95855725688,267.5626704576243,11107.54149221647,128.4170650404103,1.445912666834764,0.002126898675061994,1.443708620764216,0.002204046070548138,2.922087672343681,0.0001742609541963702,2.921838411389486,0.0002492609541957513,2.603526035372314e-06,370x368,368,132921.1408504109,12,0.02,maximum iterations reached,Fixed-time constrained replay of a free-time predictor; target closeness is reported but not required.
free_time_tangent_fixed_T_forward_5_6_fraction_0p25,quasi_dro_free_time_diagnostic,fixed_time_constrained_PALC,"5,6",predicted_forward,free_time_high_amplitude_tangent_with_T_fixed,14.74932760227518,False,False,False,False,0.0006801498102928843,0.0002696527675568952,-5.77680224589372e-06,0.000122728339360556,-2.70855187237129e-11,-2.286028278133956e-09,-2.442770629003388e-09,0.0005676878440388985,3.552713678800501e-15,10403.25575193597,-704.2857402805093,N/A,N/A,1.444471739355962,0.0007631185917462702,N/A,N/A,2.922270991248203,0.0004325798587174745,N/A,N/A,1.95450045261299e-05,370x368,368,1492352.042489497,12,0.02,maximum iterations reached,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
free_time_tangent_fixed_T_forward_5_6_fraction_0p50,quasi_dro_free_time_diagnostic,fixed_time_constrained_PALC,"5,6",predicted_forward,free_time_high_amplitude_tangent_with_T_fixed,14.74932760227518,False,False,False,False,0.0007679797683825258,0.0002386677174940667,-4.216133849599402e-06,7.354759512434583e-05,-3.860039371472723e-11,-4.634773868080616e-09,-5.021572183246115e-09,1.128002557794788e-05,3.108624468950438e-15,10535.13352888549,-572.4079633309811,N/A,N/A,1.444825472379569,0.001116851615353243,N/A,N/A,2.922266406203975,0.0004279948144891854,N/A,N/A,3.26426133837746e-06,370x368,368,350849.7477109507,12,0.02,maximum iterations reached,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
free_time_tangent_fixed_T_forward_5_6_fraction_1p00,quasi_dro_free_time_diagnostic,fixed_time_constrained_PALC,"5,6",predicted_forward,free_time_high_amplitude_tangent_with_T_fixed,14.74932760227518,False,False,False,False,0.006795899670422999,0.003752083636362335,-6.219188490508287e-05,0.0005933067659102953,-1.206055911702475e-07,-0.0008534168170937341,-4.890214020357442e-08,0.003993243585680606,3.996802888650564e-15,11370.5355898953,262.9940976788293,N/A,N/A,1.446583347992537,0.002874727228321383,N/A,N/A,2.922116153121779,0.000277741732293002,N/A,N/A,6.585624830351947e-07,370x368,368,494275.1799230788,12,0.02,maximum iterations reached,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
free_time_member_6_no_palc_projection_to_fixed_T,quasi_dro_free_time_diagnostic,fixed_time_no_PALC_projection,6,predicted_forward,free_time_member_6_state_rho_J_fixed_T_no_PALC,14.74932760227518,True,True,False,False,1.21126444227941e-11,5.492557837810282e-12,-1.372235658436693e-13,4.743894166381324e-11,-1.008308020411519e-17,3.903127820947816e-18,N/A,2.793146522877499e-12,2.220446049250313e-15,10274.98132505419,-832.5601671622844,N/A,N/A,1.444149624436628,0.0004410036724118438,N/A,N/A,2.922282428916036,0.000444017526549878,N/A,N/A,1.009474466531322e-16,369x368,368,4328907165839.354,7,0.02,,Fixed-time Newton projection from a high-amplitude diagnostic state without a PALC arclength row.
parameter_aware_forward_no_palc_projection_to_fixed_T,quasi_dro_parameter_aware_free_time_forward,fixed_time_no_PALC_projection,100,predicted_forward,parameter_aware_forward_state_rho_J_fixed_T_no_PALC,14.74932760227518,True,True,False,False,1.257489355180986e-11,5.832985889328607e-12,-1.509903313490213e-13,4.710409839958629e-11,-6.505213034913027e-19,-6.938893903907228e-18,N/A,3.731337337743481e-12,3.552713678800501e-15,10273.52387554093,-834.0176166755409,N/A,N/A,1.444149607395716,0.000440986631500051,N/A,N/A,2.92228242850033,0.0004440171108441859,N/A,N/A,1.008286703674666e-16,369x368,368,4013324385287.026,8,0.02,,Fixed-time Newton projection from a high-amplitude diagnostic state without a PALC arclength row.
fixed_time_candidate_forward_endpoint_candidate_fraction_0p25,quasi_dro_fixed_time_candidate,fixed_time_constrained_PALC,"10,200",predicted_forward,accepted_fixed_time_candidate_secant_forward,14.74932760227518,True,True,False,False,2.244696482460116e-11,1.221439121796148e-11,-3.388400671155978e-13,4.836220313109152e-11,4.228388472693467e-18,-1.029992063861229e-18,8.131516293641283e-20,1.670918395183825e-11,4.440892098500626e-15,10272.24671170378,-2.734613350407017,N/A,N/A,1.444149657479268,3.304264040160376e-08,N/A,N/A,2.922282429723014,8.069784840358807e-10,N/A,N/A,9.994309472701933e-17,370x368,368,461049.4702686624,6,0.01558284576542598,,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
fixed_time_candidate_forward_endpoint_candidate_fraction_0p50,quasi_dro_fixed_time_candidate,fixed_time_constrained_PALC,"10,200",predicted_forward,accepted_fixed_time_candidate_secant_forward,14.74932760227518,False,False,False,False,1.280933853457692e-05,5.15453980037024e-06,-1.142884271665423e-07,0.0001333257897462303,-2.772413375262683e-14,2.339951149510355e-13,2.896034378020024e-13,1.079367458469101e-05,3.552713678800501e-15,10273.35017848757,-1.631146566624011,N/A,N/A,1.444146639217446,-2.98521918185024e-06,N/A,N/A,2.922282362263245,-6.665279084216991e-08,N/A,N/A,7.279137186706645e-06,370x368,368,3438173.905669578,12,0.02,maximum iterations reached,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
fixed_time_candidate_forward_endpoint_candidate_fraction_1p00,quasi_dro_fixed_time_candidate,fixed_time_constrained_PALC,"10,200",predicted_forward,accepted_fixed_time_candidate_secant_forward,14.74932760227518,False,False,False,False,0.01415492113660572,0.0072704690950419,-0.0001791728746072252,0.001224393827188308,0.0004104281285610637,-0.01601049207028208,-6.312663079928709e-09,0.01226412394271439,3.996802888650564e-15,10073.78835881114,-201.1929662430503,N/A,N/A,1.4431654057559,-0.0009842186807280662,N/A,N/A,2.922115507096273,-0.0001669218197624112,N/A,N/A,5.630393588769797e-05,370x368,368,54025.67550823716,12,0.02,maximum iterations reached,Fixed-time constrained PALC forward diagnostic; candidate only if accepted and amplitude gates pass.
