case_id,family,operation,source_members,target_member,predictor_policy,converged,accepted,map_residual_max_norm,map_residual_rms_norm,mean_jacobi_residual,curve_jacobi_span,phase_residual,second_phase_residual,palc_constraint_residual,max_abs_z_km,delta_max_abs_z_km,target_max_abs_z_km,amplitude_error_km,rho,delta_rho,target_rho,rho_error,mapping_time_days,delta_mapping_time_days,target_mapping_time_days,mapping_time_error_days,mean_jacobi,delta_mean_jacobi,target_mean_jacobi,mean_jacobi_error,fourier_tail_energy_state,ten_return_jacobi_span,jacobian_shape,rank_estimate,condition_estimate,newton_iterations,max_correction_norm,failure_reason,diagnosis
small_quasi_vertical_endpoint_0,small_quasi_vertical,parameter_endpoint_reproduction,0,0,member_own_state_rho_T_J,True,True,2.198293511726119e-10,1.549340959578163e-10,0,1.496580637194711e-13,0,0,N/A,38.41428742934671,0,38.41428742934671,0,0.1815444093369128,0,0.1815444093369128,0,12.02451447328446,0,12.02451447328446,0,3.188341060505394,0,3.188341060505394,0,2.545998254594592e-29,1.311395436687235e-12,69x69,68,2426183588058632,0,0,,"Endpoint reproduction with states, rho, mapping time, and mean Jacobi in the unknown layout."
small_quasi_vertical_endpoint_1,small_quasi_vertical,parameter_endpoint_reproduction,1,1,member_own_state_rho_T_J,True,True,2.849749367637184e-10,2.189156792941333e-10,0,1.48769885299771e-13,0,0,N/A,57.6237572289352,0,57.6237572289352,0,0.1815447974938734,0,0.1815447974938734,0,12.02451542914163,0,12.02451542914163,0,3.188340996242083,0,3.188340996242083,0,2.099082253023996e-29,4.75131045618582e-12,69x69,68,2574395858368755,0,0,,"Endpoint reproduction with states, rho, mapping time, and mean Jacobi in the unknown layout."
small_quasi_vertical_endpoint_2,small_quasi_vertical,parameter_endpoint_reproduction,2,2,member_own_state_rho_T_J,True,True,3.897854251985743e-10,3.086109199755908e-10,0,1.483257960899209e-13,0,0,N/A,76.83548631349832,0,76.83548631349832,0,0.1815453417433415,0,0.1815453417433415,0,12.02451676741847,0,12.02451676741847,0,3.188340906258796,0,3.188340906258796,0,2.356574210033032e-29,1.646682790124032e-12,69x69,68,2720552985508632,0,0,,"Endpoint reproduction with states, rho, mapping time, and mean Jacobi in the unknown layout."
small_parameter_aware_0_1_to_2,small_quasi_vertical,parameter_aware_PALC,"0,1",2,full_parameter_secant,True,True,5.110189872355422e-09,5.106969800742693e-09,-4.440892098500626e-16,3.327560449406519e-12,-2.187789074128693e-18,-2.885705526123206e-18,-4.406901871555313e-18,76.83292402616682,19.20916679723162,76.83548631349832,-0.002562287331500102,0.1815453125432908,5.150494174488429e-07,0.1815453417433415,-2.920005065520925e-08,12.02451679943924,1.370297605163273e-06,12.02451676741847,3.202076470643078e-08,3.188340906273393,-8.996868938737634e-08,3.188340906258796,1.459765641698141e-11,9.98399814190927e-32,1.381272873857142e-10,70x69,69,1426441425329.984,1,4.517893735618193e-07,,Parameter-aware PALC known-neighbor reproduction.
small_parameter_aware_target_control,small_quasi_vertical,parameter_aware_PALC,"0,1",2,target_state_control,True,False,2.813212884308435e-12,1.35344162435655e-12,4.440892098500626e-16,4.440892098500626e-16,6.921077881078908e-18,-1.38633495770175e-18,-5.288402436501849e-19,213.466756221333,155.8429989923978,76.83548631349832,136.6312699078347,0.1815536525020825,8.855008209129878e-06,0.1815453417433415,8.310758741025825e-06,12.02453731798426,2.188884262821489e-05,12.02451676741847,2.055056578775805e-05,3.188339524120597,-1.472121485601718e-06,3.188340906258796,-1.382138198557925e-06,4.452025092717319e-32,N/A,70x69,68,2251811598902162,4,0.00126074633314727,target amplitude gate,Control case; target member is recovered when the full target vector is used as predictor.
quasi_dro_free_time_diagnostic_endpoint_0,quasi_dro_free_time_diagnostic,parameter_endpoint_reproduction,0,0,member_own_state_rho_T_J,True,True,4.131514697872946e-14,1.636599542880367e-14,0,5.10702591327572e-14,0,0,N/A,10164.02309758568,0,10164.02309758568,0,1.443877875500803,0,1.443877875500803,0,14.74932760410007,0,14.74932760410007,0,2.922288411389487,0,2.922288411389487,0,9.635033293759722e-24,2.664535259100376e-15,369x369,367,1.180482262598507e+16,0,0,,"Endpoint reproduction with states, rho, mapping time, and mean Jacobi in the unknown layout."
quasi_dro_free_time_diagnostic_endpoint_6,quasi_dro_free_time_diagnostic,parameter_endpoint_reproduction,6,6,member_own_state_rho_T_J,True,True,5.549351192881351e-14,1.845635297005515e-14,0,3.484723620772456e-11,0,0,N/A,11107.54149221647,0,11107.54149221647,0,1.443708620764216,0,1.443708620764216,0,14.80556377691894,0,14.80556377691894,0,2.921838411389486,0,2.921838411389486,0,6.71113382972719e-17,3.552713678800501e-15,369x369,367,1.838333626812709e+16,0,0,,"Endpoint reproduction with states, rho, mapping time, and mean Jacobi in the unknown layout."
free_time_parameter_aware_0_1_to_2,quasi_dro_free_time_diagnostic,parameter_aware_PALC,"0,1",2,full_parameter_secant,True,False,5.336412898996271e-10,2.469885922817203e-10,-4.908518036472742e-12,1.513278391485073e-11,3.415236843329339e-18,-8.592302216947623e-18,5.41876940149085e-16,10551.86925252382,186.5671158734604,10530.59578289068,21.27346963314085,1.443745820698673,-0.0002192435517818225,1.44395965358976,-0.0002138328910872289,14.77352843444924,0.01502931252938566,14.76784774860394,0.005680685845296907,2.922096672640902,-0.0001167387485834226,2.922138411389485,-4.17387485831533e-05,2.359430504668655e-22,N/A,370x369,369,122300258551.4878,4,0.01092635607589313,target rho gate; target mapping-time gate; target mean-Jacobi gate,Parameter-aware PALC known-neighbor reproduction.
free_time_parameter_aware_4_5_to_6,quasi_dro_free_time_diagnostic,parameter_aware_PALC,"4,5",6,full_parameter_secant,True,False,3.916458444279404e-11,1.949676109550718e-11,-4.32542890393961e-13,1.371658342463888e-11,1.734723475976807e-18,2.483500601349609e-18,2.588072112644072e-16,11171.63780152518,203.241914725917,11107.54149221647,64.09630930870298,1.443665726719917,-0.000120041439785501,1.443708620764216,-4.28940442993575e-05,14.81035146358859,0.01422435541230804,14.80556377691894,0.004787686669651237,2.921800943229471,-0.0001124681600144228,2.921838411389486,-3.746816001504172e-05,1.650761078493273e-17,N/A,370x369,369,1440525015600.292,4,0.009289363554917688,target amplitude gate; target mapping-time gate; target mean-Jacobi gate,Parameter-aware PALC known-neighbor reproduction.
free_time_parameter_aware_forward_from_5_6,quasi_dro_free_time_diagnostic,parameter_aware_PALC,"5,6",predicted_forward,full_parameter_secant_forward,True,True,5.283548785728993e-12,2.656288045931726e-12,-6.17284001691587e-14,3.044320351364149e-11,-3.848917712323541e-18,1.219049817688389e-17,-4.443651573024103e-16,11302.51011593767,194.9686237211954,N/A,N/A,1.44359357416337,-0.0001150466008457141,N/A,N/A,14.81928296746083,0.01371919054188986,N/A,N/A,2.9217298067559,-0.0001086046335854185,N/A,N/A,6.02464879763067e-17,1.77635683940025e-15,370x369,369,10338527736262.46,4,0.008584371880503474,,Parameter-aware forward diagnostic; not a fixed-mapping-time figure source.
