family,mapping_time_days,frequency_ratio
quasi_halo,12.04,9.6
quasi_halo,12.0541935483871,9.708621232219677
quasi_halo,12.06838709677419,9.831012342078584
quasi_halo,12.08258064516129,9.968918932405229
quasi_halo,12.09677419354839,10.12430789552065
quasi_halo,12.11096774193548,10.29939546603411
quasi_halo,12.12516129032258,10.49667882988237
quasi_halo,12.13935483870968,10.71897174043648
quasi_halo,12.15354838709677,10.9694446496506
quasi_halo,12.16774193548387,11.2516699266232
quasi_halo,12.18193548387097,11.56967280850043
quasi_halo,12.19612903225806,11.92798881040852
quasi_halo,12.21032258064516,12.33172841322432
quasi_halo,12.22451612903226,12.78664995179317
quasi_halo,12.23870967741935,13.29924174316189
quasi_halo,12.25290322580645,13.87681462618075
quasi_halo,12.26709677419355,14.52760623232017
quasi_halo,12.28129032258065,15.26089847486418
quasi_halo,12.29548387096774,16.08714993217023
quasi_halo,12.30967741935484,17.01814501311082
quasi_halo,12.32387096774193,18.06716203216887
quasi_halo,12.33806451612903,19.24916259135729
quasi_halo,12.35225806451613,20.58100497002173
quasi_halo,12.36645161290322,22.08168456599793
quasi_halo,12.38064516129032,23.77260481741511
quasi_halo,12.39483870967742,25.67788246916646
quasi_halo,12.40903225806452,27.8246915379092
quasi_halo,12.42322580645161,30.24365088139367
quasi_halo,12.43741935483871,32.96926089982797
quasi_halo,12.45161290322581,36.04039559772997
quasi_halo,12.4658064516129,39.50085702429742
quasi_halo,12.48,43.4
quasi_vertical,12.65,47.8
quasi_vertical,12.65725806451613,45.39085505417055
quasi_vertical,12.66451612903226,43.15758827106885
quasi_vertical,12.67177419354839,41.08735977230648
quasi_vertical,12.67903225806452,39.16826704701397
quasi_vertical,12.68629032258065,37.38927651989469
quasi_vertical,12.69354838709677,35.74016011511142
quasi_vertical,12.7008064516129,34.21143645128778
quasi_vertical,12.70806451612903,32.79431632953295
quasi_vertical,12.71532258064516,31.4806522010799
quasi_vertical,12.72258064516129,30.26289132400806
quasi_vertical,12.72983870967742,29.13403233973096
quasi_vertical,12.73709677419355,28.087585019591
quasi_vertical,12.74435483870968,27.11753295012959
quasi_vertical,12.75161290322581,26.21829894249648
quasi_vertical,12.75887096774194,25.3847129671242
quasi_vertical,12.76612903225806,24.611982429312
quasi_vertical,12.77338709677419,23.89566461482278
quasi_vertical,12.78064516129032,23.23164114707247
quasi_vertical,12.78790322580645,22.61609430905679
quasi_vertical,12.79516129032258,22.04548509388133
quasi_vertical,12.80241935483871,21.5165328576993
quasi_vertical,12.80967741935484,21.02619645807434
quasi_vertical,12.81693548387097,20.57165676932552
quasi_vertical,12.8241935483871,20.15030047432907
quasi_vertical,12.83145161290323,19.75970503958971
quasi_vertical,12.83870967741936,19.39762478719782
quasi_vertical,12.84596774193548,19.06197798359485
quasi_vertical,12.85322580645161,18.75083487091564
quasi_vertical,12.86048387096774,18.46240657209524
quasi_vertical,12.86774193548387,18.19503480595174
quasi_vertical,12.875,17.94718235311314
